City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Padang,ID,-0.9492,100.3543,77.0,94,75,2.3,broken clouds
172,Nuevo Progreso,MX,23.1667,-97.95,82.99,55,56,5.01,broken clouds
173,Sainte-Rose,GP,16.3324,-61.6979,86.0,58,90,11.5,overcast clouds
174,Okakarara,NA,-20.5833,17.4333,76.21,47,64,5.14,broken clouds
175,Ilulissat,GL,69.2167,-51.1,14.0,52,75,1.14,broken clouds
176,Tricase,IT,39.9304,18.3553,59.0,67,0,12.66,clear sky
177,Atuona,PF,-9.8,-139.0333,79.68,63,34,10.31,scattered clouds
178,Limon,CR,10.0,-83.0333,82.4,69,0,5.75,clear sky
179,Laguna,US,38.421,-121.4238,50.0,76,1,5.75,clear sky
180,Tabou,CI,4.423,-7.3528,81.82,81,46,9.51,light rain
181,Dingle,PH,10.9995,122.6711,75.22,91,96,2.33,overcast clouds
182,Katangli,RU,51.7102,143.2326,26.64,80,7,8.75,clear sky
183,Sao Filipe,CV,14.8961,-24.4956,73.38,65,0,7.4,clear sky
184,Ust-Omchug,RU,61.15,149.6333,-6.99,100,98,3.2,overcast clouds
185,Prince Albert,CA,53.2001,-105.7677,39.2,60,40,13.8,scattered clouds
186,Shar,KZ,49.5886,81.0453,0.81,96,100,4.83,overcast clouds
187,Portland,US,45.5234,-122.6762,48.0,71,90,9.22,overcast clouds
188,Boa Vista,BR,2.8197,-60.6733,82.4,69,75,5.75,light rain
189,Codrington,AU,-38.2667,141.9667,54.75,82,93,9.48,overcast clouds
190,Linda,US,39.1277,-121.5508,50.0,76,1,11.5,clear sky
191,Nizwa,OM,22.9333,57.5333,71.92,28,50,2.19,scattered clouds
192,Jasper,US,37.2001,-94.3502,57.0,94,90,11.5,overcast clouds
193,Hoquiam,US,46.9809,-123.8893,45.0,93,90,12.66,light rain
194,Chegdomyn,RU,51.1167,133.0167,27.54,81,3,4.45,clear sky
195,Dagupan,PH,17.7061,121.5047,72.21,92,88,4.52,overcast clouds
196,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,20,9.22,moderate rain
197,Ales,FR,44.1333,4.0833,57.2,26,0,17.27,clear sky
198,Matamoros,MX,25.5333,-103.25,66.2,12,75,13.8,dust
199,Avera,US,33.194,-82.5271,73.99,60,1,3.44,clear sky
200,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,20,9.22,few clouds
201,Zhucheng,CN,35.9947,119.3975,48.34,79,90,9.53,overcast clouds
202,Rocha,UY,-34.4833,-54.3333,75.81,52,0,9.15,clear sky
203,Port Hawkesbury,CA,45.6169,-61.3485,26.01,58,90,16.11,light snow
204,Bardiyah,LY,31.7561,25.0865,57.9,78,100,9.01,overcast clouds
205,Camacha,PT,33.0833,-16.3333,62.6,72,40,10.36,scattered clouds
206,Rawson,AR,-43.3002,-65.1023,66.54,53,2,16.02,clear sky
207,Cayenne,GF,4.9333,-52.3333,75.2,94,90,5.75,fog
208,Fortuna,US,40.5982,-124.1573,52.0,74,100,11.54,overcast clouds
209,Ust-Maya,RU,60.4167,134.5333,11.91,93,100,5.61,overcast clouds
210,Provideniya,RU,64.3833,-173.3,18.86,96,100,5.28,light snow
211,Kjollefjord,NO,70.9457,27.3465,24.8,86,75,2.3,light snow
212,Isangel,VU,-19.55,169.2667,75.67,88,100,7.18,overcast clouds
213,Odweyne,SO,9.4092,45.064,74.14,59,6,11.14,clear sky
214,Belz,FR,47.6751,-3.168,52.0,65,80,4.0,broken clouds
215,Pucallpa,PE,-8.3791,-74.5539,82.4,74,75,3.44,broken clouds
216,Kozhva,RU,65.1073,57.0459,20.98,93,100,11.77,light snow
217,Saint-Augustin,CA,51.226,-58.6502,18.84,83,100,10.6,overcast clouds
218,Norman Wells,CA,65.282,-126.8329,-5.8,84,90,4.61,light snow
219,College,US,64.8569,-147.8028,-6.0,76,1,3.69,clear sky
220,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,100,75,13.8,broken clouds
221,Rio Grande,BR,-32.035,-52.0986,78.8,65,75,6.91,broken clouds
222,Tessalit,ML,20.1986,1.0114,87.75,12,1,11.43,clear sky
223,Escarcega,MX,18.6089,-90.7454,87.66,38,0,7.11,clear sky
224,Sobolevo,RU,54.4299,31.8996,34.97,98,100,12.44,snow
225,Guerrero Negro,MX,27.9769,-114.0611,61.09,47,65,4.52,broken clouds
226,Mitsamiouli,KM,-11.3847,43.2844,82.35,72,90,6.44,light rain
