City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Sur,OM,74.46,clear sky,22.5667,59.5289,Sur Plaza Hotel
99,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Ovolo Central
103,Cozumel,MX,84.2,scattered clouds,20.5083,-86.9458,InterContinental Presidente Cozumel Resort Spa
106,Kikwit,CD,80.85,few clouds,-5.041,18.8162,Grand Hotel De Kikwit
110,Cabo San Lucas,MX,72.0,clear sky,22.8909,-109.9124,Welk Resorts Cabo San Lucas - Sirena del Mar
114,Mana,GF,76.3,light rain,5.6592,-53.7767,LE SAMANA
116,East London,ZA,71.6,scattered clouds,-33.0153,27.9116,Garden Court East London
117,Mehar,PK,75.0,clear sky,27.1807,67.8229,Lahooti hotal
121,Chuy,UY,75.74,clear sky,-33.6971,-53.4616,Descanso al Paso Chuy
122,Soyo,AO,82.29,scattered clouds,-6.1349,12.3689,"Kinwica Resort-Hotel (Soyo, Angola)"
131,Tura,IN,70.2,scattered clouds,25.5198,90.2201,Hotel Polo Orchid
132,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
134,Richards Bay,ZA,76.15,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
135,Sao Gabriel Da Cachoeira,BR,84.2,few clouds,-0.1303,-67.0892,Hotel Uaupes
138,Faxinal,BR,81.61,clear sky,-24.0003,-51.3194,NENOHOTEL
139,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Carp Island Resort
142,Epe,NG,83.95,overcast clouds,6.5841,3.9834,La Casa Hotel
145,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,Les Embruns Du Baril
147,Kavaratti,IN,83.77,clear sky,10.5669,72.642,yaad Hotal
148,Necochea,AR,73.0,clear sky,-38.5473,-58.7368,Hostel La casa de al lado
150,Mount Isa,AU,73.4,overcast clouds,-20.7333,139.5,Redearth Boutique Hotel
151,Lorengau,PG,80.37,overcast clouds,-2.0226,147.2712,Tharapiyap Lodge
152,Mahina,PF,77.0,light rain,-17.5065,-149.489,Le Tahiti by Pearl Resorts
159,Banda Aceh,ID,80.24,overcast clouds,5.5577,95.3222,Grand Aceh Hotel
163,Bengkulu,ID,77.68,overcast clouds,-3.8004,102.2655,Mercure Bengkulu
165,Souillac,MU,77.0,light rain,-20.5167,57.5167,SkylineInn Hotel
166,Lalawigan,PH,76.37,scattered clouds,11.5892,125.4697,Boro Bay Hotel
169,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
170,Faanui,PF,82.42,broken clouds,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
171,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Air Manis Hill Residence
173,Sainte-Rose,GP,86.0,overcast clouds,16.3324,-61.6979,"villa bagatelle Location saisonnière avec piscine et spa proche plage(Guadeloupe, Basse Terre)"
177,Atuona,PF,79.68,scattered clouds,-9.8,-139.0333,CHALETS HANAKEE
